temp,Time (days),"std, 0 uM, fluor AMC, rep 1","std, 0 uM, fluor AMC, rep 2","std, 0 uM, fluor AMC, rep 3","std, 1 uM, fluor AMC, rep 1","std, 1 uM, fluor AMC, rep 2","std, 1 uM, fluor AMC, rep 3","std, 2 uM, fluor AMC, rep 1","std, 2 uM, fluor AMC, rep 2","std, 2 uM, fluor AMC, rep 3","std, 3 uM, fluor AMC, rep 1","std, 3 uM, fluor AMC, rep 2","std, 3 uM, fluor AMC, rep 3","std, 4 uM, fluor AMC, rep 1","std, 4 uM, fluor AMC, rep 2","std, 4 uM, fluor AMC, rep 3","std, 5 uM, fluor AMC, rep 1","std, 5 uM, fluor AMC, rep 2","std, 5 uM, fluor AMC, rep 3","std, 6 uM, fluor AMC, rep 1","std, 6 uM, fluor AMC, rep 2","std, 6 uM, fluor AMC, rep 3","std, 7 uM, fluor AMC, rep 1","std, 7 uM, fluor AMC, rep 2","std, 7 uM, fluor AMC, rep 3","std, 8 uM, fluor AMC, rep 1","std, 8 uM, fluor AMC, rep 2","std, 8 uM, fluor AMC, rep 3","std, 9 uM, fluor AMC, rep 1","std, 9 uM, fluor AMC, rep 2","std, 9 uM, fluor AMC, rep 3","std, 10 uM, fluor AMC, rep 1","std, 10 uM, fluor AMC, rep 2","std, 10 uM, fluor AMC, rep 3","std, 11 uM, fluor AMC, rep 1","std, 11 uM, fluor AMC, rep 2","std, 11 uM, fluor AMC, rep 3","std, 12 uM, fluor AMC, rep 1","std, 12 uM, fluor AMC, rep 2","std, 12 uM, fluor AMC, rep 3","std, 13 uM, fluor AMC, rep 1","std, 13 uM, fluor AMC, rep 2","std, 13 uM, fluor AMC, rep 3","std, 14 uM, fluor AMC, rep 1","std, 14 uM, fluor AMC, rep 2","std, 14 uM, fluor AMC, rep 3","std, 15 uM, fluor AMC, rep 1","std, 15 uM, fluor AMC, rep 2","std, 15 uM, fluor AMC, rep 3","sample, A-AMC, 10 uM, rep A, live","sample, A-AMC, 10 uM, rep B, live","sample, A-AMC, 10 uM, rep C, live","sample, A-AMC, 10 uM, rep A, killed","sample, A-AMC, 20 uM, rep A, live","sample, A-AMC, 20 uM, rep B, live","sample, A-AMC, 20 uM, rep C, live","sample, A-AMC, 20 uM, rep A, killed","sample, A-AMC, 30 uM, rep A, live","sample, A-AMC, 30 uM, rep B, live","sample, A-AMC, 30 uM, rep C, live","sample, A-AMC, 30 uM, rep A, killed","sample, A-AMC, 40 uM, rep A, live","sample, A-AMC, 40 uM, rep B, live","sample, A-AMC, 40 uM, rep C, live","sample, A-AMC, 40 uM, rep A, killed","sample, A-AMC, 50 uM, rep A, live","sample, A-AMC, 50 uM, rep B, live","sample, A-AMC, 50 uM, rep C, live","sample, A-AMC, 50 uM, rep A, killed","sample, A-AMC, 60 uM, rep A, live","sample, A-AMC, 60 uM, rep B, live","sample, A-AMC, 60 uM, rep C, live","sample, A-AMC, 60 uM, rep A, killed","sample, A-AMC, 70 uM, rep A, live","sample, A-AMC, 70 uM, rep B, live","sample, A-AMC, 70 uM, rep C, live","sample, A-AMC, 70 uM, rep A, killed","sample, A-AMC, 80 uM, rep A, live","sample, A-AMC, 80 uM, rep B, live","sample, A-AMC, 80 uM, rep C, live","sample, A-AMC, 80 uM, rep A, killed","sample, B-AMC, 10 uM, rep A, live","sample, B-AMC, 10 uM, rep B, live","sample, B-AMC, 10 uM, rep C, live","sample, B-AMC, 10 uM, rep A, killed","sample, B-AMC, 20 uM, rep A, live","sample, B-AMC, 20 uM, rep B, live","sample, B-AMC, 20 uM, rep C, live","sample, B-AMC, 20 uM, rep A, killed","sample, B-AMC, 30 uM, rep A, live","sample, B-AMC, 30 uM, rep B, live","sample, B-AMC, 30 uM, rep C, live","sample, B-AMC, 30 uM, rep A, killed","sample, B-AMC, 40 uM, rep A, live","sample, B-AMC, 40 uM, rep B, live","sample, B-AMC, 40 uM, rep C, live","sample, B-AMC, 40 uM, rep A, killed"
23.3,0.000185185,0.881490185,0.693203909,0.585772673,10.63142874,11.22925397,11.03687425,21.13042221,21.42487012,20.6263815,30.6959384,31.29785094,30.78747533,41.46306518,40.67075516,40.72010079,50.75256047,51.49902446,51.39477769,61.04260654,60.670063,61.18734373,71.09401542,70.97168387,70.82880183,80.73109636,81.13465282,80.63764469,91.04593654,90.93052902,91.06316677,101.4983108,100.6252169,101.3732111,110.7152562,111.0081668,111.376587,121.3731197,120.5241089,121.1469854,131.0242746,131.3137011,131.1790008,141.0032781,141.0682305,140.7296714,150.6785188,151.0631179,151.3966786,-0.188546954,-0.274716492,0.145184816,0.103788283,-0.225319924,-0.303469652,0.068467133,-0.238427283,0.465479807,0.249873344,0.423628204,-0.088541345,-0.412824506,0.338381443,-0.326632919,0.357565559,-0.073123247,0.243850732,-0.107210735,-0.187906505,-0.044892204,0.108589241,0.495049551,-0.122001203,-0.162372988,-0.032192296,-0.153568306,-0.078607272,-0.487422186,0.281300358,0.38084685,-0.322471443,0.344695849,-0.067948503,0.413211338,-0.253055339,0.105204583,-0.484791569,-0.09082426,-0.008882216,0.0184447,-0.0418058,0.434017166,-0.171916215,-0.449007851,-0.014385726,0.257748494,-0.29540331
23.1,0.00712963,0.739510265,0.662657776,0.794015244,10.74654882,11.18198181,11.43794493,20.86639573,20.86649489,20.65267938,31.35171142,30.85652599,30.69301154,40.79734392,41.43340165,41.37344079,50.54401005,50.5817894,51.11058847,60.84963949,60.62419608,60.65666533,71.03960808,70.62717043,70.51890669,80.87783665,81.25253495,80.53850296,90.72991239,90.70396458,91.30855826,101.4917453,100.8259239,100.8002492,110.7724774,110.7198004,111.2933686,121.0327303,120.868242,120.7399139,130.5405362,130.6976984,130.5026871,141.0244153,141.4997614,140.6492607,151.2153633,151.0744449,151.3036046,0.523656409,-0.174039391,0.233349503,0.055601147,0.31185511,0.414669997,0.137630717,0.282751002,0.300949152,0.529489401,-0.136225122,-0.172921099,0.257317729,0.366234979,0.098163408,-0.376121564,-0.096186658,0.439626249,0.702705155,0.321605598,0.673091627,0.24196022,-0.101960359,0.039047623,0.365347639,0.262217169,-0.102157247,0.051941809,0.178782441,0.092543386,-0.018516021,-0.001603461,-0.161886457,0.391215044,0.022630266,0.49089379,0.191316594,-0.112235107,0.400022494,0.216423866,0.267645233,0.186334511,-0.316480376,-0.335690333,0.521027263,-0.106391847,-0.107762079,0.020550031
23,0.014074074,1.440633748,1.217011697,1.485917981,10.84785219,10.61872871,10.91288679,21.4605739,21.47720755,21.29497602,31.08815558,31.25181967,31.35891572,40.55107281,41.2543522,41.42593661,50.58575092,51.38170851,50.72550923,61.33611013,60.50348999,61.26940714,70.82488446,70.72047378,71.3099847,81.28800303,80.99344529,81.40108698,90.5406959,90.69108804,91.44913351,101.2651975,100.6125805,101.3569606,111.0161738,111.341658,110.5744409,120.834593,121.2000667,120.9589099,131.1086278,130.8374163,131.1477667,141.467556,140.8753187,140.7027741,151.467753,151.2812343,150.9412154,-0.309871858,-0.265428678,0.499030282,0.172855712,0.495342231,0.65368836,-0.023279898,0.085567352,0.526099412,-0.006565157,0.54985068,-0.335851768,0.01543567,0.730326679,0.134203916,0.360694931,0.339547507,-0.012886893,-0.027121,0.245171445,0.254654586,0.696288458,0.672944834,0.424381169,0.895261485,0.724759799,0.088471158,0.1714057,0.354173065,0.675885759,0.30987958,-0.489337204,-0.007598765,0.023686364,-0.247615527,0.160843738,-0.270467573,-0.029075535,-0.086693541,0.49782859,0.602963351,0.208913193,0.673913817,0.1212657,0.088561784,0.517091374,0.133068264,-0.127515476
22.9,0.021018519,0.727097504,0.557125447,1.098175204,10.64284327,11.49514962,10.71659703,21.08744423,20.58126417,20.97173181,31.48306116,30.9217414,30.97871624,40.90573078,41.39660675,40.66744984,51.15077875,51.03516168,51.45439329,60.83268631,61.11098744,60.51570115,71.35755294,70.73693831,70.59929598,81.25329867,80.67449915,81.01553529,90.5868876,91.36638681,90.68188683,101.3569762,101.0580894,100.9974054,111.2667739,111.3206112,110.8947464,121.3898292,121.2153812,120.8667076,130.5056807,131.1130923,131.4353703,141.2765067,141.102091,140.7020977,150.899457,151.1364365,151.1118435,0.571767862,-0.23842155,-0.001830775,-0.094001288,0.474619145,0.359139225,-0.116295009,-0.032514876,0.334046782,0.53886896,0.691286022,-0.208110467,0.728297028,0.105959745,0.839921103,-0.173319246,1.043611737,0.965161321,1.048154461,0.34071787,1.179215228,0.932865025,0.361977301,-0.387647981,0.882660426,0.442979179,1.093907768,-0.318167985,0.831473583,0.882755366,1.058741606,0.044202618,0.675847971,0.362774569,0.560831159,-0.214956957,0.569711966,0.227075735,0.042524628,0.061912949,0.497846525,0.226759453,0.770272927,0.111598912,0.95129672,0.8305842,0.664735704,0.141722069
22.9,0.027962963,0.598180301,0.807475606,1.186307303,11.34094839,11.17728462,10.50485647,20.5309168,21.25307222,21.27117925,31.0972675,31.44717928,31.37444427,41.27473948,40.58231502,41.17532965,50.52116186,51.11859956,50.88300058,60.86269633,60.95032009,61.39522655,70.91118156,70.74492469,70.90174089,80.69051344,81.20647725,81.1153625,91.39808263,90.67037501,91.05890879,100.5239387,101.4137835,100.7249333,111.289046,111.4996655,111.0762164,120.7195784,121.0967788,120.9163999,130.8945916,130.6464069,130.8940505,141.267806,140.642121,141.2363967,151.3285338,150.6259378,151.3285563,0.163285487,-0.106882505,0.050132859,-0.171811468,0.378241388,0.290825398,0.637802421,0.029213971,0.857282711,0.915765852,0.736307907,-0.246440599,1.21687343,0.659527749,0.353881946,-0.064123641,1.220913905,0.659279812,0.750580387,0.359391899,0.85678484,1.259500131,1.194226204,-0.351272517,1.460438045,1.298393377,0.911820834,-0.288197335,1.225661726,1.592218825,1.329167031,-0.169740476,0.201651215,0.043102915,-0.256915014,-0.148531685,0.765662158,0.804240772,0.637902087,0.316263626,0.618122261,0.783298156,0.954703823,0.401104303,0.272951366,1.056128303,0.254007327,0.119763375
22.8,0.034907407,0.534824405,0.765794389,1.380035946,10.79132636,10.83901802,10.64383183,20.71530044,21.21399977,20.92024378,30.88885238,30.81045347,30.9613741,40.91521548,41.36114682,40.8653935,51.33194829,51.39620295,50.62802128,60.58743336,61.04993577,60.94563069,71.39512944,71.21306806,70.99480885,80.65264313,81.31198713,80.9060722,91.0517204,90.54802612,91.18827053,101.1163649,101.4139154,101.225971,111.345176,111.4390813,110.9350011,121.2726851,120.9534212,121.495534,130.9331502,131.278688,130.9124126,140.6552421,140.854294,140.5459593,150.8140635,150.5887081,151.0301666,0.000601903,0.332147764,0.643776356,-0.11942871,0.724502929,0.192209483,0.972432173,-0.48066798,0.862962576,0.312446002,0.450327218,-0.079919086,0.863931967,0.539490209,1.102919029,-0.43003851,1.433977519,1.179013684,0.78763153,0.230800263,1.506971524,1.6480222,1.45108396,0.131912684,0.98331855,1.029209301,0.964183914,0.410708296,1.555623935,1.193807513,1.357803806,0.319701567,0.491013711,0.024399494,0.713750558,-0.044731619,0.248073786,0.029204072,0.19107587,0.384207805,1.049418709,0.63961555,0.804864066,0.150152135,1.255707165,1.039194567,0.887466448,0.444724083
22.8,0.041851852,1.467280958,1.233338805,1.41664893,10.95648442,10.95793229,11.27711326,21.39030008,20.52689125,21.08815993,30.63340471,30.87470866,31.21976905,41.25732915,41.10543839,40.7892118,50.53099462,50.71499051,50.93309284,60.88008788,60.87654694,61.05334719,70.6521399,70.53653526,70.51726023,81.44076638,81.25363328,81.49634277,91.43982062,91.38053685,90.75083602,100.7693205,101.1016305,100.9875922,110.8506361,111.3498991,110.9420284,121.0313241,121.4081992,121.3792591,130.6654325,130.739375,130.860729,140.8537534,141.0385216,140.8520045,150.8409648,151.495898,151.3433358,0.554198058,-0.007385157,0.411879893,-0.178478048,0.782972066,1.17666936,0.437839061,-0.335493165,1.461671729,0.752149073,0.523314999,-0.08802105,1.324347329,0.800037543,1.483968842,0.246661219,1.144398785,1.390788201,1.032726486,-0.220107773,1.395723531,1.388931257,1.279096297,-0.11811666,1.833453966,1.697912054,1.396500307,-0.405565862,1.794026614,1.777665589,1.726762491,0.06142892,0.151295681,0.187955195,0.716835306,-0.349633181,0.748961943,0.41478488,0.880772603,0.329355198,0.586863031,0.776064612,0.417119645,0.182765667,0.612382667,1.342634803,0.717874198,0.594201595
22.8,0.048796296,1.488733991,0.770302509,0.739708009,11.23529014,11.12958961,11.39597398,21.18353217,20.85162568,20.80633743,31.23817573,31.39143423,31.26868952,41.14707175,40.65627751,40.97724094,50.95524701,50.94494918,50.70528874,60.96999371,60.69291562,61.43741828,70.78039351,71.43269332,70.96263104,80.93029033,80.83677313,80.66303043,91.33708475,91.38637411,91.1076377,100.884469,100.617175,101.3145194,110.9419109,110.9287633,110.9003333,121.1138241,120.9361713,121.0216164,131.3606202,131.4172273,131.3963966,141.0621335,140.5115645,141.3195809,150.9279467,150.7683991,151.2685756,0.275494535,0.069331648,0.004206469,-0.469785946,0.597028881,1.048827008,0.731226338,-0.162116409,1.32314117,1.437202682,0.65619874,-0.028738622,1.087531071,0.965028932,1.505549864,-0.435476024,1.653063827,1.573562635,1.136963138,-0.100698542,1.497318841,1.777623705,1.789511548,0.328547762,1.870233401,2.113097303,2.501320978,0.39489163,2.357489654,1.937662685,1.80617415,0.507234208,0.02005308,0.658600368,0.540869167,-0.006511134,0.240856645,0.322503334,1.086767622,0.262719287,1.235551534,1.263839166,1.321095989,0.251448193,0.848527655,1.417081584,1.141604127,0.490076775
22.8,0.055740741,0.991484925,0.583723845,1.177925546,10.97359417,10.84774727,11.16356677,20.73644898,21.22077318,21.42353293,31.02730105,31.48196026,31.33119605,40.85378301,41.29897775,41.19597121,51.30213186,51.49443229,51.17159385,61.06906593,61.11721091,61.02400565,71.49359279,71.48357328,70.7259608,81.06836231,80.88740849,80.97524555,91.36819028,91.106428,91.17289483,100.5399826,101.4105203,100.995753,110.6217815,111.0934883,111.2244362,121.0172884,121.3111913,120.843453,130.8150886,130.8019233,130.8832936,140.6296724,141.2398669,140.5934347,150.9376535,151.3378205,151.0943142,0.079409336,0.44754344,0.424525835,0.325720274,0.460111157,1.051717526,1.267008583,0.109627217,0.963100538,1.713694744,1.063709006,-0.294827684,1.242794476,1.142285517,1.956039138,-0.348363591,1.687381993,1.50254864,1.591756479,-0.126811148,2.043735665,2.007790318,2.326579764,-0.099706554,2.030700715,2.27925256,1.877005546,0.216190856,2.814387285,2.555792899,2.822649013,0.294183603,0.731356214,0.53781241,0.273442643,0.36905941,1.096622544,0.631273362,0.415188771,-0.004223118,1.37356567,1.482500514,1.271569256,0.109980897,1.37111379,1.335804516,0.863628356,0.073304194
22.8,0.062685185,1.404913164,1.414966346,1.134334299,10.72100495,10.64138333,11.05855074,21.31951901,21.01794699,20.6224218,31.27068251,30.63475592,30.6825727,40.76698625,40.77083578,41.45208364,51.06093259,50.58780371,50.60255569,60.81753368,60.75345503,61.45786524,71.14414117,71.27643406,71.0205985,81.11301201,81.20094375,81.06897817,90.97280625,90.72122668,90.8067327,101.2806447,100.6460032,100.7366476,110.9653442,110.8427733,111.2414498,121.0567201,121.2544589,120.845312,131.3588706,131.3244862,130.5043086,140.7167592,141.3937586,141.0229485,150.8099232,150.6710763,150.949652,0.626263814,0.726940607,0.941486179,-0.177282076,0.880277257,1.065502471,0.983099528,-0.058026824,1.923077011,1.233372922,1.496637949,0.389483102,1.545646194,2.150554715,1.832222402,0.102831664,2.212974538,2.041612323,2.420162213,-0.471195452,2.791868087,2.485065541,2.648020829,-0.401323555,2.237755208,2.681546394,2.36523431,-0.254969509,2.318948268,2.433067862,3.018484607,-0.189019985,0.812643738,0.870664105,0.069045872,-0.060352551,0.741241744,0.733422066,0.501389909,-0.336013417,1.689624815,0.877538433,1.742737494,-0.022936545,1.934274196,1.67244067,1.186453711,0.31288519
