date,station,depth,inc.temp,subs,conc.uM,rep,treatment,time,fl,std,air.temp
10/22/13,st 1,5,17,arg,0,1,live,13:55,162.7,807.2,21.6
10/22/13,st 1,5,17,arg,50,1,live,13:56,853.6,,
10/22/13,st 1,5,17,arg,100,1,live,13:56,1429,,
10/22/13,st 1,5,17,arg,150,1,live,13:56,1920,,
10/22/13,st 1,5,17,arg,200,1,live,13:57,2426,,
10/22/13,st 1,5,17,arg,250,1,live,13:57,2855,,
10/22/13,st 1,5,17,arg,300,1,live,13:57,3270,,
10/22/13,st 1,5,17,arg,400,1,live,13:57,4069,,
10/22/13,st 1,5,17,arg,400,2,live,13:58,4058,,
10/22/13,st 1,5,17,arg,400,3,live,13:58,4062,,
10/22/13,st 1,5,17,arg,400,1,killed,13:58,4518,,
10/22/13,st 1,5,17,arg,400,2,killed,13:58,4387,,
10/22/13,st 1,5,17,arg,400,3,killed,13:58,4350,,
10/22/13,st 1,5,17,gly,0,1,live,14:00,155.2,805.9,21.6
10/22/13,st 1,5,17,gly,50,1,live,14:00,1602,,
10/22/13,st 1,5,17,gly,100,1,live,14:00,2643,,
10/22/13,st 1,5,17,gly,150,1,live,14:00,3629,,
10/22/13,st 1,5,17,gly,200,1,live,14:00,4765,,
10/22/13,st 1,5,17,gly,250,1,live,14:01,5726,,
10/22/13,st 1,5,17,gly,300,1,live,14:01,6469,,
10/22/13,st 1,5,17,gly,400,1,live,14:01,8171,,
10/22/13,st 1,5,17,gly,400,2,live,14:02,8228,,
10/22/13,st 1,5,17,gly,400,3,live,14:02,8149,,
10/22/13,st 1,5,17,gly,400,1,killed,14:02,9337,,
10/22/13,st 1,5,17,gly,400,2,killed,14:02,9350,,
10/22/13,st 1,5,17,gly,400,3,killed,14:03,9201,,
10/22/13,st 1,5,17,leu,0,1,live,14:03,153.4,806.5,21.6
10/22/13,st 1,5,17,leu,50,1,live,14:04,1420,,
10/22/13,st 1,5,17,leu,100,1,live,14:04,2450,,
10/22/13,st 1,5,17,leu,150,1,live,14:04,3254,,
10/22/13,st 1,5,17,leu,200,1,live,14:04,4383,,
10/22/13,st 1,5,17,leu,250,1,live,14:05,5034,,
