,A,B,C,D,E,F,G,H
1,"std, 2 uM, MUB, buffer","std, 2 uM, MUB, buffer","std, 2 uM, MUB, buffer","std, 2 uM, MUB, buffer","std, 2 uM, MUB, buffer","std, 2 uM, MUB, buffer","std, 2 uM, MUB, buffer","std, 2 uM, MUB, buffer"
2,"b-cello, 50 uM,  MUB, buffer","b-cello, 50 uM,  MUB, buffer","b-cello, 50 uM,  MUB, buffer","b-cello, 50 uM,  MUB, buffer","b-cello, 50 uM,  MUB, buffer","b-cello, 50 uM,  MUB, buffer","b-cello, 50 uM,  MUB, buffer","b-cello, 50 uM,  MUB, buffer"
3,"std, 2 uM, MUB, sample","std, 2 uM, MUB, sample","std, 2 uM, MUB, sample","std, 2 uM, MUB, sample","std, 2 uM, MUB, sample","std, 2 uM, MUB, sample","std, 2 uM, MUB, sample","std, 2 uM, MUB, sample"
4,"std, 100 uM, MUB, buffer","std, 100 uM, MUB, buffer","std, 100 uM, MUB, buffer","std, 100 uM, MUB, buffer","std, 100 uM, MUB, buffer","std, 100 uM, MUB, buffer","std, 100 uM, MUB, buffer","std, 100 uM, MUB, buffer"
5,"b-cello, 50 uM, MUB, sample","b-cello, 50 uM, MUB, sample","b-cello, 50 uM, MUB, sample","b-cello, 50 uM, MUB, sample","b-cello, 50 uM, MUB, sample","b-cello, 50 uM, MUB, sample","b-cello, 50 uM, MUB, sample","b-cello, 50 uM, MUB, sample"
6,"b-cello, 50 uM, MUB, sample","b-cello, 50 uM, MUB, sample","b-cello, 50 uM, MUB, sample","b-cello, 50 uM, MUB, sample","b-cello, 50 uM, MUB, sample","b-cello, 50 uM, MUB, sample","b-cello, 50 uM, MUB, sample","b-cello, 50 uM, MUB, sample"
7,"std, 2 uM, MUB, buffer","std, 2 uM, MUB, buffer","std, 2 uM, MUB, buffer","std, 2 uM, MUB, buffer","std, 2 uM, MUB, buffer","std, 2 uM, MUB, buffer","std, 2 uM, MUB, buffer","std, 2 uM, MUB, buffer"
8,"b-gal, 50 uM, MUB, buffer","b-gal, 50 uM, MUB, buffer","b-gal, 50 uM, MUB, buffer","b-gal, 50 uM, MUB, buffer","b-gal, 50 uM, MUB, buffer","b-gal, 50 uM, MUB, buffer","b-gal, 50 uM, MUB, buffer","b-gal, 50 uM, MUB, buffer"
9,"std, 2 uM, MUB, sample","std, 2 uM, MUB, sample","std, 2 uM, MUB, sample","std, 2 uM, MUB, sample","std, 2 uM, MUB, sample","std, 2 uM, MUB, sample","std, 2 uM, MUB, sample","std, 2 uM, MUB, sample"
10,"std, 0 uM, MUB, sample","std, 0 uM, MUB, sample","std, 0 uM, MUB, sample","std, 0 uM, MUB, sample","std, 0 uM, MUB, sample","std, 0 uM, MUB, sample","std, 0 uM, MUB, sample","std, 0 uM, MUB, sample"
11,"b-gal, 50 uM, MUB, sample","b-gal, 50 uM, MUB, sample","b-gal, 50 uM, MUB, sample","b-gal, 50 uM, MUB, sample","b-gal, 50 uM, MUB, sample","b-gal, 50 uM, MUB, sample","b-gal, 50 uM, MUB, sample","b-gal, 50 uM, MUB, sample"
12,"b-gal, 50 uM, MUB, sample","b-gal, 50 uM, MUB, sample","b-gal, 50 uM, MUB, sample","b-gal, 50 uM, MUB, sample","b-gal, 50 uM, MUB, sample","b-gal, 50 uM, MUB, sample","b-gal, 50 uM, MUB, sample","b-gal, 50 uM, MUB, sample"
