substrate,rep,treatment,time,RFU
1,1,live,9:56,"137,813.04"
1,2,live,9:57,"135,673.5"
1,3,live,9:57,"138,597.51"
1,kill,killed,9:57,"138,111.29"
2,1,live,9:58,"131,257.6"
2,2,live,9:58,"129,746.85"
2,3,live,9:58,"133,682.71"
2,kill,killed,9:59,"125,420.78"
3,1,live,9:59,"131,484.56"
3,2,live,9:59,"130,022.25"
3,3,live,9:59,"126,668.35"
3,kill,killed,10:00,"108,869.12"
4,1,live,10:00,"141,809.68"
4,2,live,10:00,"135,938.43"
4,3,live,10:01,"138,204.03"
4,kill,killed,10:01,"145,304.43"
5,1,live,10:01,"237,493.9"
5,2,live,10:01,"226,741.73"
5,3,live,10:02,"236,191.57"
5,kill,killed,10:02,"189,015.39"
1,1,live,10:15,"150,143.29"
1,2,live,10:16,"147,268.85"
1,3,live,10:16,"150,980.79"
1,kill,killed,10:16,"135,768.92"
2,1,live,10:16,"149,895.21"
2,2,live,10:17,"148,200.2"
2,3,live,10:17,"147,242.35"
2,kill,killed,10:17,"134,050.57"
3,1,live,10:17,"171,875.34"
3,2,live,10:18,"172,960.62"
3,3,live,10:18,"167,703.53"
3,kill,killed,10:18,"109,906.45"
4,1,live,10:18,"139,566.51"
4,2,live,10:19,"135,735.78"
4,3,live,10:19,"135,073.43"
4,kill,killed,10:19,"143,162.48"
5,1,live,10:20,"364,591.43"
5,2,live,10:20,"353,001.59"
5,3,live,10:20,"364,692.09"
5,kill,killed,10:20,"193,287.29"
1,1,live,10:36,"162,584.85"
1,2,live,10:36,"160,915.31"
1,3,live,10:36,"164,152.1"
1,kill,killed,10:37,"136,188.48"
2,1,live,10:37,"163,061.5"
2,2,live,10:37,"161,734.87"
2,3,live,10:38,"163,090.31"
2,kill,killed,10:38,"137,291.12"
3,1,live,10:38,"222,629.48"
3,2,live,10:39,"223,653.89"
3,3,live,10:39,"218,511.62"
3,kill,killed,10:39,"109,934.9"
4,1,live,10:39,"139,786.75"
4,2,live,10:40,"135,473.4"
4,3,live,10:40,"136,426.03"
4,kill,killed,10:40,"142,915.78"
5,1,live,10:41,"526,873.87"
5,2,live,10:41,"521,510.46"
5,3,live,10:41,"533,831.5"
5,kill,killed,10:41,"193,650.51"
1,1,live,10:58,"178,805.28"
1,2,live,10:58,"177,861.25"
1,3,live,10:58,"182,104.68"
1,kill,killed,10:59,"135,999.21"
2,1,live,10:59,"177,322.45"
2,2,live,10:59,"174,835.84"
2,3,live,10:59,"177,824.1"
2,kill,killed,11:00,"141,090.93"
3,1,live,11:00,"274,570.53"
3,2,live,11:00,"275,866.87"
3,3,live,11:01,"274,000.56"
3,kill,killed,11:01,"110,074.46"
4,1,live,11:01,"142,856.35"
4,2,live,11:01,"137,594.67"
4,3,live,11:01,"139,298.35"
4,kill,killed,11:02,"142,569.78"
5,1,live,11:02,"717,315.06"
5,2,live,11:03,"722,589.12"
5,3,live,11:03,"730,640.43"
5,kill,killed,11:03,"198,493.46"
1,1,live,11:18,"194,377.39"
1,2,live,11:18,"189,461.75"
1,3,live,11:19,"193,746.15"
1,kill,killed,11:19,"136,576.96"
2,1,live,11:19,"189,719.95"
2,2,live,11:20,"187,269.07"
2,3,live,11:20,"194,293.09"
2,kill,killed,11:20,"143,869.64"
3,1,live,11:20,"324,667.87"
3,2,live,11:21,"327,949.46"
3,3,live,11:21,"325,845.78"
3,kill,killed,11:21,"109,726.83"
4,1,live,11:21,"143,453.51"
4,2,live,11:22,"139,263.89"
4,3,live,11:22,"140,695.59"
4,kill,killed,11:22,"143,510.29"
5,1,live,11:22,"913,648.62"
5,2,live,11:23,"920,558.12"
5,3,live,11:23,"916,437.18"
5,kill,killed,11:23,"201,617.42"
1,1,live,11:37,"209,054.06"
1,2,live,11:38,"205,574.03"
1,3,live,11:38,209991
1,kill,killed,11:38,"138,434.79"
2,1,live,11:38,"205,946.76"
2,2,live,11:39,"202,275.57"
2,3,live,11:39,"211,462.87"
2,kill,killed,11:39,"148,466.96"
3,1,live,11:40,"376,166.53"
3,2,live,11:41,"385,100.87"
3,3,live,11:41,"377,640.5"
3,kill,killed,11:41,"113,435.79"
4,1,live,11:42,"145,524.4"
4,2,live,11:42,"142,606.7"
4,3,live,11:43,"143,673.9"
4,kill,killed,11:43,"145,904.43"
5,1,live,11:43,"1,146,660.37"
5,2,live,11:44,"1,164,997.5"
5,3,live,11:44,1155168
5,kill,killed,11:44,"206,605.93"
